Player,PTS,REB,AST
Giannis Antetokounmpo,30.388059701492537,11.91044776119403,6.462686567164179
Paolo Banchero,25.891304347826086,7.5,4.760869565217392
LaMelo Ball,25.19148936170213,4.9361702127659575,7.361702127659575
RJ Barrett,21.086206896551722,6.310344827586207,5.413793103448276
Scottie Barnes,19.26153846153846,7.723076923076923,5.815384615384615
Desmond Bane,19.231884057971016,6.057971014492754,5.3478260869565215
Bam Adebayo,18.076923076923077,9.602564102564102,4.32051282051282
OG Anunoby,18.0,4.837837837837838,2.2162162162162162
Deni Avdija,16.930555555555557,7.25,3.9027777777777777
Deandre Ayton,14.4,10.15,1.6
Jarrett Allen,13.451219512195122,9.731707317073171,1.9268292682926829
Santi Aldama,12.476923076923077,6.4,2.8923076923076922
Harrison Barnes,12.329268292682928,3.7804878048780486,1.6585365853658536
Grayson Allen,10.625,3.03125,2.140625
Ochai Agbaji,10.421875,3.78125,1.53125
Jose Alvarado,10.339285714285714,2.4285714285714284,4.625
Nickeil Alexander-Walker,9.426829268292684,3.231707317073171,2.7195121951219514
Cole Anthony,9.402985074626866,3.044776119402985,2.8507462686567164
Dalano Banton,8.343283582089553,2.014925373134328,2.388059701492537
Lonzo Ball,7.628571428571429,3.3714285714285714,3.2857142857142856
Marcus Bagley,6.7,7.0,1.0
Precious Achiuwa,6.649122807017544,5.56140350877193,0.9649122807017544
Kyle Anderson,5.852459016393443,3.377049180327869,2.377049180327869
Marvin Bagley III,4.387096774193548,2.7096774193548385,0.3548387096774194
Mo Bamba,4.3125,4.53125,0.5625
Dominick Barlow,4.228571428571429,2.4285714285714284,0.5428571428571428
Steven Adams,3.8793103448275863,5.637931034482759,1.1379310344827587
Patrick Baldwin Jr.,2.2083333333333335,1.0416666666666667,0.125
Trey Alexander,1.3333333333333333,0.5,0.4583333333333333
